N,P,K,temperature,humidity,ph,rainfall,label
50.06,45.75,30.03,22.65,54.91,6.4,480.9,Wheat
40.81,35.04,29.75,21.78,59.18,6.98,474.21,Wheat
40.33,40.88,22.3,18.62,61.85,6.36,554.9,Wheat
43.55,43.69,37.21,21.93,51.62,6.91,517.06,Wheat
47.19,45.27,33.05,21.27,69.45,6.72,329.93,Wheat
47.27,31.54,36.75,21.2,52.36,6.99,320.93,Wheat
48.24,31.12,20.42,15.8,65.89,6.89,453.69,Wheat
49.78,33.31,32.9,24.98,52.15,6.91,462.83,Wheat
58.24,36.02,27.68,22.78,64.83,6.92,347.87,Wheat
57.29,45.51,26.58,24.23,69.55,6.85,364.15,Wheat
40.32,34.84,24.72,17.23,57.24,6.93,435.91,Wheat
44.08,43.04,31.23,24.59,59.27,6.25,591.18,Wheat
48.99,45.49,21.1,17.8,66.49,6.11,538.68,Wheat
50.85,30.96,27.47,17.31,65.86,6.68,533.15,Wheat
42.47,43.27,30.18,15.31,51.63,6.57,381.03,Wheat
52.08,33.89,24.34,17.93,60.59,6.56,390.97,Wheat
42.9,35.04,25.89,23.65,63.09,6.53,400.34,Wheat
42.36,41.78,32.25,17.89,50.39,6.23,567.49,Wheat
51.13,33.64,28.07,20.41,67.05,6.84,547.06,Wheat
40.76,48.7,26.63,22.26,59.73,6.83,491.63,Wheat
55.41,41.14,38.74,17.97,51.8,6.02,533.12,Wheat
40.26,34.66,39.7,17.92,59.56,6.18,423.91,Wheat
44.5,42.63,27.41,21.77,57.14,6.77,534.16,Wheat
46.02,40.74,39.37,17.36,60.25,6.58,578.12,Wheat
41.58,30.03,27.12,22.8,59.52,6.79,415.58,Wheat
43.82,30.33,22.56,18.91,65.33,6.49,397.2,Wheat
45.52,41.71,26.67,24.79,67.32,6.49,393.97,Wheat
47.61,48.44,35.88,17.81,62.16,6.73,346.36,Wheat
41.08,46.37,23.42,22.93,53.06,6.96,476.52,Wheat
54.0,33.5,22.59,22.68,67.26,6.91,466.42,Wheat
53.96,42.51,29.79,17.77,64.79,6.69,544.34,Wheat
59.77,49.41,28.75,24.95,64.9,6.88,549.08,Wheat
54.42,31.79,30.01,15.01,55.15,6.14,359.25,Wheat
40.2,49.88,22.91,16.54,57.59,6.77,548.85,Wheat
46.71,48.5,25.21,19.39,54.73,6.7,502.26,Wheat
51.11,33.0,30.42,15.54,68.77,6.77,387.14,Wheat
50.51,44.49,30.27,23.21,54.79,6.37,537.77,Wheat
43.81,40.63,30.37,17.77,61.0,6.59,431.07,Wheat
48.68,42.89,30.8,23.69,57.13,6.04,350.42,Wheat
50.91,47.18,22.06,16.09,54.54,6.93,318.94,Wheat
45.26,43.15,28.43,24.29,68.24,6.98,468.54,Wheat
58.82,31.73,37.03,18.61,59.38,6.8,517.73,Wheat
50.89,47.22,28.94,24.39,64.78,6.2,410.13,Wheat
41.83,41.49,21.99,24.24,66.88,6.39,571.91,Wheat
49.79,32.79,27.03,23.91,65.26,6.1,555.82,Wheat
57.6,42.09,32.3,22.23,56.57,6.52,453.3,Wheat
41.07,39.63,22.07,20.33,52.76,6.05,435.5,Wheat
58.03,31.54,38.89,22.21,65.83,6.91,532.14,Wheat
54.81,30.8,25.85,17.1,53.8,6.56,361.6,Wheat
52.98,33.88,37.91,15.55,56.95,6.04,507.92,Wheat
47.65,46.29,33.62,22.92,66.51,6.91,446.33,Wheat
57.48,49.05,36.13,17.85,59.35,6.75,405.62,Wheat
41.9,37.79,33.33,18.69,62.29,6.93,408.72,Wheat
44.74,39.08,31.65,15.72,55.19,6.28,347.76,Wheat
42.89,35.75,32.58,19.73,67.19,7.0,373.12,Wheat
55.5,30.22,27.72,18.22,66.09,6.69,508.12,Wheat
53.47,32.24,21.11,17.08,54.23,6.9,577.9,Wheat
42.74,40.33,24.69,19.52,64.18,6.7,325.81,Wheat
58.3,33.36,29.29,20.96,64.38,6.86,307.19,Wheat
45.16,31.5,29.98,18.87,61.08,6.43,439.8,Wheat
46.5,30.4,31.0,22.89,56.94,6.11,416.82,Wheat
45.76,30.54,33.28,17.6,69.32,6.97,398.31,Wheat
48.18,40.78,21.47,19.43,52.92,6.65,482.78,Wheat
59.25,34.11,36.14,21.87,56.54,6.26,551.01,Wheat
51.56,38.04,34.71,16.39,69.65,6.4,329.6,Wheat
45.68,48.36,30.36,24.66,57.02,6.08,360.41,Wheat
56.8,45.41,35.46,22.81,68.74,6.03,528.38,Wheat
49.92,49.13,24.64,17.42,56.07,6.81,405.35,Wheat
56.73,39.39,33.29,16.85,67.89,6.26,322.01,Wheat
48.13,42.45,20.83,22.22,60.25,6.54,309.73,Wheat
51.79,36.21,30.94,18.94,63.1,6.67,505.72,Wheat
42.62,49.15,23.26,18.56,53.18,6.52,454.16,Wheat
41.85,48.11,30.49,22.58,55.06,6.01,400.28,Wheat
53.11,39.92,35.95,22.98,55.39,6.06,522.7,Wheat
51.06,49.66,22.84,21.84,50.26,6.41,354.67,Wheat
54.13,31.61,21.11,16.36,70.0,6.99,321.9,Wheat
57.94,48.28,24.97,18.37,66.71,6.3,318.1,Wheat
